Application Name,Category,Description/Purpose,Service Provider,Hosting,Website,,,,,,,,
Listserv,Core-IT,Email distribution list application.,IT Services,Premise,,,,,,,,,
Miami Directory,Core-IT,Web interface to Directory services,IT Services,Premise,http://netapps.miamioh.edu/directory/,,,,,,,,
Miami Home page and associated web pages,Administrative,www.miamioh.edu site.,University Communications,Premise,http://www.miamioh.edu/,,,,,,,,
Millenium (Innovative Interfaces) Library System,Administrative,Library card catalog and book checkout system,University Libraries,Premise,,,,,,,,,
MInE (Brio Portal) Hyperion,Administrative,Application that allows clients to run SQR reports and view output.,IT Services,Premise,https://ithelp.muohio.edu/selfservice/rassp/KPListing/view2.jsp?k2dockey=040972654001534@kpol17&showbuttons=true&dontlog=false,,,,,,,,
MyCard,Administrative,"A collection of applications primarily focused around Housing, Meal Plans, etc.",HDRBS,Premise,https://www.hdg.muohio.edu/Code/MyCard/MYmenu.php?thisperson=public&seshid=,,,,,,,,
myMiami (myCampus),Core-IT,University Web Portal.,IT Services,Premise,https://mymiami.miamioh.edu/group/mymiami/home,,,,,,,,
netDisk - web application,Core-IT,Web-based access to Windows File Services - primary method for setting up sharing of files,IT Services,Premise,https://ithelp.muohio.edu/selfservice/rassp/KPListing/view2.jsp?k2dockey=040972654086662,,,,,,,,
netDisk - Windows File Services,Core-IT,Miami University file storage and access services.,IT Services,Premise,https://ithelp.muohio.edu/selfservice/rassp/KPListing/view2.jsp?k2dockey=040972654086662,,,,,,,,
OpenLDAP,Directory,Lightweight Directory Access Protocol - Directory Services.,IT Services,Premise,http://www.openldap.org/,,,,,,,,
Oracle DBMS,Core-IT,Database management system.,IT Services,Premise,https://www.oracle.com/database/index.html,,,,,,,,
Pay-For-Print,Core-IT,Manages printer charging - primarily used for student lab printers,IT Services,Premise,https://ithelp.muohio.edu/selfservice/rassp/KPListing/view2.jsp?k2dockey=040972654097192,,,,,,,,
PeopleAdmin,Administrative,Employment vendor - we can advertise job openings; applicants can apply for jobs.,Human Resorces,,http://www.units.miamioh.edu/prs/documents/generalhr/mywork/Page442.htm,,,,,,,,
Radius Authentication,Core-IT,Implements the Radius authentication protocol - uses directory services for source of usernames and passwords,IT Services,Premise,,,,,,,,,
Sakai / Niihka,Academic,Learning Management System.,Digital Learning,Premise,https://niihka.miamioh.edu/portal,,,,,,,,
SciQuest (Miami Buyway),Administrative,"Software to manage university purchases, POs, Invoices, etc.",Finance,Cloud,http://www.units.miamioh.edu/purchasing/MiamiBuyway.php,,,,,,,,
Shibboleth,Core-IT,Federated user managment,IT Services,Cloud,https://shibboleth.net/,,,,,,,,
Slate,Administrative,Undergraduate admission application.,Admissions,Cloud,https://technolutions.com/,,,,,,,,
Symantec Service Desk,Core-IT,"Incident management, change management, simple service requests",IT Services,Premise,http://www.symantec.com/en/uk/service-desk,,,,,,,,
VMware,Core-IT,Virtual Machine software for servers.,IT Services,Premise,http://www.vmware.com/virtualization/,,,,,,,,
VoIP,Core-IT,University Voice Over Internet Protocol - telephony system.,IT Services,Premise,http://www.cisco.com/c/en/us/products/unified-communications/networking_solutions_products_genericcontent0900aecd804f00ce.html,,,,,,,,
WAS (Web Authentication Services),Core-IT,Provides web authentication services.,IT Services,Premise,,,,,,,,,
